expID,testID,prec,recall,shd,date
deep-FC-SF-d=20,d=20_k=4_gtype=ER_noise=Gaussian_mat=COR,0.15987397868205128,0.12809865171794368,30.181640625,2020-05-19T17:05:51.872
deep-EQ-SF-ensemble,d=15_k=2_gtype=SF_noise=Gaussian_mat=COR,0.7886438027374415,0.8628627232142856,5.166015625,2020-05-20T14:19:46.934
deep-EQ-ER,d=80_k=1_gtype=SF_noise=Gaussian_mat=COR,0.4303206417327333,0.7633257515822784,98.638671875,2020-05-20T05:02:01.001
deep-EQ-ER,d=10_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8308232183296707,0.925564236111111,2.37109375,2020-05-20T05:00:15.598
deep-EQ-COV,d=20_k=1_gtype=ER_noise=Gaussian_mat=COV,0.8661486177772758,0.8993194309787464,4.677734375,2020-05-19T14:54:49.922
deep-FC-SF-d=15,d=15_k=2_gtype=ER_noise=Gaussian_mat=COR,0.2450590892245964,0.19056447246451189,20.314453125,2020-05-19T17:05:43.659
deep-EQ-ER,d=15_k=2_gtype=ER_noise=Gaussian_mat=COR,0.673543872156871,0.7013819997406583,9.275390625,2020-05-20T05:00:21.117
deep-EQ-ER,d=15_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8323591594610025,0.8869977678571428,4.08984375,2020-05-20T05:00:24.365
deep-FC-ER-d=10,d=10_k=1_gtype=SF_noise=Gaussian_mat=COR,0.44349027482230263,0.43815104166666663,10.005859375,2020-05-19T16:30:03.669
deep-EQ-ER-ensemble,d=20_k=2_gtype=SF_noise=Gaussian_mat=COR,0.6772825475369078,0.6889391447368421,12.1484375,2020-05-20T14:18:09.566
deep-FC-ER-d=20,d=20_k=4_gtype=SF_noise=Gaussian_mat=COR,0.1963682451873979,0.15789473684210525,28.228515625,2020-05-19T16:30:18.429
deep-FC-ER-d=20,d=20_k=1_gtype=ER_noise=Gaussian_mat=COR,0.29447653954799313,0.23199621094649392,25.78515625,2020-05-19T16:30:11.514
deep-EQ-ER-ensemble,d=15_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5761436701781874,0.5719043485773336,12.306640625,2020-05-20T14:17:52.417
deep-FC-SF-d=15,d=15_k=4_gtype=ER_noise=Gaussian_mat=COR,0.21346486018438882,0.16480865736460268,20.931640625,2020-05-19T17:05:44.756
deep-EQ-SF-ensemble,d=10_k=2_gtype=SF_noise=Gaussian_mat=COR,0.8279404343339977,0.8741319444444445,2.7734375,2020-05-20T14:19:33.498
deep-EQ-ER,d=20_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8125718328586318,0.819798519736842,7.0234375,2020-05-20T05:00:37.779
deep-EQ-SF,d=20_k=2_gtype=SF_noise=Gaussian_mat=COR,0.744879945035301,0.8280222039473685,8.669921875,2020-05-19T14:53:48.651
deep-EQ-ER,d=15_k=4_gtype=SF_noise=Gaussian_mat=COR,0.57498396539869,0.560546875,11.95703125,2020-05-20T05:00:27.841
deep-EQ-SF,d=80_k=1_gtype=ER_noise=Gaussian_mat=COR,0.4439329289760501,0.7889608340560857,95.490234375,2020-05-19T16:27:11.767
deep-EQ-SF-ensemble,d=20_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7197822266556936,0.6596871981084664,11.64453125,2020-05-20T14:19:51.286
deep-EQ-ER-ensemble,d=10_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5810477358607168,0.6488715277777778,7.38671875,2020-05-20T14:17:41.905
deep-FC-SF-COV-d=20,d=20_k=1_gtype=SF_noise=Gaussian_mat=COV,0.3228047899337755,0.2602796052631579,24.412109375,2020-05-20T05:02:09.642
deep-FC-ER-d=15,d=15_k=2_gtype=SF_noise=Gaussian_mat=COR,0.29287054597962814,0.24818638392857145,18.908203125,2020-05-19T16:30:09.006
deep-EQ-ER-ensemble,d=20_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8106907908497012,0.8321340460526314,6.888671875,2020-05-20T14:18:07.214
deep-EQ-ER-ensemble,d=15_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8407794067752772,0.8921595982142857,3.87890625,2020-05-20T14:17:54.044
deep-FC-ER-d=20,d=20_k=4_gtype=ER_noise=Gaussian_mat=COR,0.2367961793532554,0.18478017789415602,27.548828125,2020-05-19T16:30:14.357
deep-FC-SF-d=15,d=15_k=1_gtype=SF_noise=Gaussian_mat=COR,0.6510434205662553,0.56640625,10.328125,2020-05-19T17:05:45.508
deep-FC-ER-d=15,d=15_k=1_gtype=ER_noise=Gaussian_mat=COR,0.3689069267597531,0.3012128503999764,17.673828125,2020-05-19T16:30:05.563
deep-EQ-ER,d=15_k=2_gtype=SF_noise=Gaussian_mat=COR,0.6991222704592497,0.760044642857143,7.953125,2020-05-20T05:00:26.332
deep-EQ-ER,d=10_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5852682094354896,0.6146040265326986,7.763671875,2020-05-20T05:00:14.649
deep-EQ-ER,d=10_k=2_gtype=SF_noise=Gaussian_mat=COR,0.7110253025961967,0.8246527777777779,4.59765625,2020-05-20T05:00:16.588
deep-EQ-SF,d=10_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7118063969732517,0.673578222396315,5.689453125,2020-05-19T14:53:20.06
deep-EQ-ER-COV-ensemble,d=10_k=1_gtype=ER_noise=Gaussian_mat=COV,0.878037908833537,0.9337569723531114,1.869140625,2020-05-20T14:23:08.238
deep-EQ-ER-COV-ensemble,d=15_k=1_gtype=SF_noise=Gaussian_mat=COV,0.9128308186190505,0.968470982142857,1.744140625,2020-05-20T14:24:50.961
deep-EQ-ER,d=20_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7522543949790466,0.7689903504140492,9.44140625,2020-05-20T05:00:30.578
